Hydrophone 1,Hydrophone 2,Hydrophone 3,Hydrophone 4,Hydrophone 5
-60,-42,-42,-41,-42
-45,-42,-42,-41,-43
-48,-42,-42,-41,-43
-51,-42,-43,-42,-43
8,-42,-43,-42,-43
-29,-43,-42,-41,-43
-23,-43,-42,-41,-42
-53,-42,-43,-42,-43
-48,-42,-42,-41,-43
-65,-42,-42,-41,-43
-50,-42,-42,-41,-43
-34,-41,-43,-42,-43
-34,-42,-42,-41,-43
-32,-42,-42,-41,-42
-52,-42,-42,-41,-43
-56,-42,-42,-41,-43
-28,-42,-42,-42,-43
-72,-42,-42,-41,-44
-58,-42,-42,-41,-43
-46,-43,-43,-42,-43
5,-42,-43,-42,-43
-28,-44,-42,-41,-43
-41,-42,-42,-41,-43
-32,-42,-42,-42,-43
-53,-42,-42,-42,-42
-56,-42,-42,-41,-43
-57,-43,-43,-42,-43
-33,-42,-42,-41,-43
2,-42,-42,-41,-44
-43,-44,-43,-42,-43
-38,-43,-43,-42,-43
-43,-42,-42,-42,-43
-50,-41,-42,-41,-43
-55,-43,-43,-42,-43
-47,-42,-42,-42,-42
-31,-41,-42,-41,-43
-40,-43,-42,-42,-42
-38,-42,-42,-41,-43
-42,-41,-42,-41,-43
-68,-42,-42,-41,-43
-41,-42,-43,-42,-44
-69,-42,-42,-41,-43
-51,-42,-41,-41,-43
-33,-41,-42,-42,-42
-27,-42,-42,-41,-43
-38,-42,-42,-41,-43
-55,-42,-42,-41,-43
-43,-42,-42,-42,-43
-50,-42,-42,-41,-43
-50,-43,-42,-42,-43
-19,-42,-43,-42,-44
-36,-42,-42,-41,-43
-24,-42,-42,-42,-43
-53,-42,-42,-42,-43
-50,-42,-42,-41,-43
-70,-42,-42,-41,-43
-49,-42,-42,-42,-43
-35,-42,-42,-42,-42
-31,-42,-42,-41,-43
-28,-42,-42,-42,-43
-48,-42,-42,-41,-43
-38,-42,-42,-41,-43
-32,-42,-43,-42,-43
-72,-41,-43,-42,-44
-52,-42,-42,-42,-43
-51,-42,-42,-41,-43
6,-42,-42,-42,-43
-27,-43,-42,-41,-43
-55,-42,-41,-41,-43
-34,-43,-42,-41,-43
-55,-42,-42,-42,-43
-53,-41,-42,-40,-43
-49,-42,-43,-42,-43
-34,-42,-42,-42,-44
-3,-42,-42,-42,-43
-41,-42,-42,-42,-43
-48,-41,-42,-41,-43
-43,-41,-42,-42,-43
-52,-42,-42,-41,-43
-29,-43,-42,-42,-43
-36,-42,-42,-41,-43
-26,-42,-42,-41,-43
-41,-42,-42,-42,-42
-44,-42,-43,-42,-44
-42,-42,-42,-41,-43
-68,-42,-42,-41,-43
-39,-42,-42,-42,-43
-45,-42,-42,-42,-43
-46,-41,-42,-41,-42
-25,-42,-42,-41,-43
-49,-42,-42,-41,-43
-38,-41,-42,-42,-43
-58,-42,-42,-42,-43
-43,-42,-42,-42,-43
-35,-42,-42,-42,-43
-50,-43,-43,-42,-43
14,-42,-43,-42,-44
-25,-44,-41,-42,-43
-30,-42,-42,-41,-42
-50,-42,-42,-42,-42
-58,-42,-42,-42,-43
-45,-42,-42,-41,-43
-44,-42,-43,-41,-43
-19,-42,-42,-42,-43
-29,-42,-42,-42,-43
-34,-42,-43,-41,-43
-44,-42,-43,-42,-43
-79,-41,-42,-41,-43
-33,-42,-42,-41,-43
-56,-42,-43,-42,-42
-50,-42,-42,-41,-43
-27,-42,-41,-41,-43
-15,-42,-42,-42,-42
-34,-42,-42,-42,-43
-69,-42,-42,-41,-43
-39,-42,-43,-42,-43
-44,-42,-43,-42,-43
-51,-42,-42,-41,-44
-30,-42,-42,-41,-43
-27,-42,-42,-41,-43
-6,-42,-42,-42,-43
-39,-42,-42,-41,-43
-53,-41,-42,-41,-43
-45,-42,-43,-42,-43
-50,-41,-42,-41,-43
-23,-42,-42,-42,-42
-37,-42,-42,-42,-43
-23,-42,-42,-41,-44
-35,-42,-43,-42,-44
-41,-42,-43,-42,-43
-44,-42,-42,-41,-43
-68,-42,-42,-41,-43
-35,-42,-42,-42,-43
-52,-42,-42,-42,-44
-50,-42,-42,-41,-43
-29,-42,-42,-41,-43
-33,-42,-42,-41,-43
-35,-41,-42,-41,-43
-61,-42,-43,-42,-43
-44,-42,-42,-42,-43
-44,-42,-42,-41,-43
-45,-41,-42,-41,-43
18,-43,-42,-42,-43
-23,-44,-42,-42,-44
-23,-42,-42,-41,-43
-50,-42,-43,-42,-43
-47,-41,-42,-41,-43
-58,-43,-42,-42,-43
-44,-42,-42,-42,-43
-25,-42,-42,-42,-43
-28,-42,-42,-41,-43
-29,-42,-42,-42,-43
-39,-42,-42,-42,-43
-61,-41,-42,-41,-43
-26,-41,-42,-41,-43
-68,-42,-43,-41,-43
-49,-42,-43,-41,-43
-38,-41,-42,-41,-43
8,-42,-43,-42,-43
-26,-44,-42,-42,-43
-41,-42,-41,-41,-43
-29,-42,-42,-42,-43
-51,-42,-43,-42,-43
-49,-42,-42,-42,-44
-49,-42,-42,-41,-43
-31,-42,-43,-42,-43
0,-42,-42,-41,-43
-38,-43,-42,-41,-43
-32,-43,-43,-42,-42
-41,-43,-42,-42,-43
-51,-42,-42,-41,-43
-44,-42,-43,-42,-43
-40,-42,-42,-41,-43
-17,-42,-42,-41,-44
-39,-42,-42,-41,-43
-33,-42,-42,-41,-43
-33,-42,-42,-41,-43
-61,-42,-42,-41,-43
-29,-43,-42,-42,-42
-49,-42,-42,-42,-43
-46,-42,-42,-41,-43
-25,-42,-42,-41,-43
-27,-42,-42,-41,-43
-31,-41,-42,-41,-43
-54,-42,-42,-41,-43
-41,-42,-42,-41,-43
-46,-42,-42,-42,-43
-46,-42,-42,-41,-43
-9,-42,-42,-42,-42
-27,-43,-42,-41,-43
-14,-42,-42,-41,-43
-49,-42,-42,-42,-43
-38,-42,-42,-42,-43
-69,-42,-42,-42,-43
-46,-43,-43,-42,-43
-34,-42,-43,-42,-43
-30,-42,-42,-42,-43
-21,-42,-42,-41,-43
-38,-42,-42,-41,-43
-33,-42,-42,-41,-43
-27,-42,-42,-41,-43
-67,-42,-42,-41,-42
-45,-41,-42,-42,-43
-44,-42,-42,-41,-43
7,-43,-42,-42,-43
-30,-44,-43,-42,-44
-31,-42,-42,-41,-44
-28,-41,-42,-41,-43
-49,-42,-42,-42,-42
-49,-42,-42,-42,-42
-53,-42,-42,-41,-43
-26,-42,-42,-42,-42
1,-42,-42,-42,-43
-36,-43,-42,-41,-43
-34,-42,-43,-42,-43
-38,-42,-43,-41,-43
-48,-42,-42,-41,-43
-44,-42,-42,-41,-43
-40,-42,-42,-41,-43
-19,-42,-42,-42,-43
-41,-41,-42,-42,-43
-34,-42,-42,-42,-42
-31,-42,-43,-41,-43
-61,-42,-42,-42,-43
-32,-42,-43,-42,-43
-41,-42,-42,-42,-43
-47,-42,-41,-41,-43
-23,-42,-42,-42,-43
-37,-42,-42,-41,-42
-37,-42,-42,-41,-43
-54,-42,-42,-41,-43
-38,-42,-42,-41,-43
-39,-42,-42,-42,-43
-42,-42,-42,-41,-43
11,-42,-43,-41,-43
-22,-44,-42,-42,-43
-16,-42,-42,-41,-43
-44,-42,-43,-42,-43
-43,-42,-42,-41,-44
-57,-42,-42,-41,-43
-43,-41,-41,-41,-43
-22,-42,-42,-41,-43
-30,-42,-42,-41,-43
-23,-41,-42,-41,-43
-42,-42,-42,-42,-42
-53,-42,-42,-41,-43
-26,-42,-43,-41,-44
-68,-42,-42,-42,-43
-48,-42,-42,-42,-43
-38,-41,-42,-42,-44
12,-42,-42,-41,-43
-25,-44,-42,-42,-43
-41,-42,-42,-41,-43
-26,-42,-42,-42,-43
-50,-42,-42,-41,-42
-49,-42,-43,-42,-43
-35,-42,-42,-42,-43
-27,-42,-43,-42,-43
-2,-42,-42,-41,-43
-38,-42,-42,-41,-43
-33,-41,-41,-41,-43
-35,-42,-42,-41,-43
-42,-42,-42,-42,-43
-57,-42,-41,-41,-43
-44,-42,-42,-42,-43
-25,-42,-43,-42,-43
-38,-42,-42,-41,-43
-29,-42,-42,-42,-42
-29,-42,-43,-42,-43
